,age,income,children,credit_history,overdue_payments,active_loans,years_in_job,employment_type,owns_property,assets_value,other_loans,education,city,marital_status,credit_risk
56,31,19706.0,0.0,brak historii,1.0,2,12,samozatrudnienie,0.0,220257.0,1,1,1,żonaty/zamężna,0
57,36,,0.0,dobra historia,0.0,0,11,stała,0.0,43596.0,0,0,0,żonaty/zamężna,0
58,43,,0.0,brak historii,0.0,1,15,stała,0.0,68637.0,0,0,1,kawaler/panna,0
59,49,10723.0,0.0,dobra historia,1.0,0,7,stała,1.0,77017.0,1,1,1,żonaty/zamężna,0
60,35,23621.0,2.0,dobra historia,,1,4,samozatrudnienie,1.0,,0,1,1,żonaty/zamężna,0
61,38,24816.0,0.0,brak historii,0.0,1,5,stała,1.0,117375.0,0,0,0,żonaty/zamężna,0
62,28,34296.0,0.0,,0.0,1,19,samozatrudnienie,0.0,60562.0,0,1,0,żonaty/zamężna,0
63,28,40000.0,0.0,dobra historia,0.0,0,0,stała,1.0,235640.0,0,0,0,rozwiedziony/rozwiedziona,0
64,48,,0.0,,1.0,2,15,stała,0.0,70204.0,1,1,2,kawaler/panna,0
65,53,21456.0,1.0,brak historii,0.0,1,15,stała,1.0,159523.0,1,1,0,kawaler/panna,0
66,39,19184.0,0.0,brak historii,,5,11,określona,,25098.0,1,1,1,żonaty/zamężna,1
67,50,27361.0,0.0,brak historii,,2,5,stała,1.0,270347.0,0,1,0,kawaler/panna,0
68,43,24534.0,0.0,dobra historia,1.0,1,12,samozatrudnienie,1.0,60881.0,1,0,0,żonaty/zamężna,0
69,33,18466.0,0.0,,1.0,3,5,stała,0.0,98848.0,0,0,2,rozwiedziony/rozwiedziona,0
70,43,17668.0,4.0,brak historii,0.0,1,7,samozatrudnienie,1.0,35151.0,1,1,0,żonaty/zamężna,0
71,55,12604.0,0.0,brak historii,2.0,1,11,stała,1.0,25807.0,1,1,0,żonaty/zamężna,0
72,39,,2.0,dobra historia,0.0,0,7,brak,0.0,,0,2,0,kawaler/panna,0
73,55,27711.0,2.0,,0.0,0,4,określona,1.0,91277.0,0,2,2,kawaler/panna,0
74,18,,0.0,dobra historia,,3,9,określona,1.0,27228.0,0,2,0,żonaty/zamężna,0
75,48,,5.0,,1.0,0,12,określona,1.0,63707.0,1,1,0,żonaty/zamężna,0
76,40,15860.0,2.0,dobra historia,,0,15,brak,,10995.0,0,1,1,żonaty/zamężna,0
77,37,12846.0,1.0,brak historii,,3,13,stała,0.0,,0,0,0,żonaty/zamężna,0
78,40,26356.0,0.0,,1.0,0,17,stała,0.0,43404.0,1,0,1,kawaler/panna,0
79,20,13096.0,1.0,dobra historia,,2,11,stała,1.0,,0,0,0,żonaty/zamężna,1
80,37,40000.0,0.0,dobra historia,0.0,0,9,brak,0.0,,0,1,2,rozwiedziony/rozwiedziona,0
81,43,,0.0,dobra historia,0.0,0,18,stała,1.0,,0,0,2,żonaty/zamężna,0
82,54,25256.0,2.0,dobra historia,,3,8,samozatrudnienie,1.0,131342.0,0,0,1,żonaty/zamężna,0
83,34,40000.0,3.0,,1.0,1,14,stała,1.0,27821.0,0,0,1,żonaty/zamężna,0
84,31,29719.0,0.0,dobra historia,0.0,1,16,stała,1.0,,0,1,1,żonaty/zamężna,0
85,34,24048.0,2.0,dobra historia,,1,0,określona,1.0,68067.0,1,0,1,kawaler/panna,0
86,49,,2.0,dobra historia,1.0,1,10,brak,0.0,,1,0,0,kawaler/panna,0
87,43,11038.0,0.0,dobra historia,,1,4,określona,0.0,63191.0,0,0,1,kawaler/panna,0
88,34,32371.0,0.0,,1.0,4,4,stała,1.0,51594.0,1,2,1,kawaler/panna,0
89,45,40000.0,0.0,,0.0,2,5,samozatrudnienie,0.0,37860.0,1,0,0,żonaty/zamężna,0
90,40,17686.0,2.0,brak historii,1.0,0,0,określona,,103699.0,0,1,1,kawaler/panna,0
91,49,12462.0,2.0,dobra historia,,3,14,stała,0.0,188109.0,1,1,1,kawaler/panna,0
92,32,,0.0,dobra historia,1.0,1,8,określona,1.0,,0,0,0,rozwiedziony/rozwiedziona,0
93,36,13488.0,1.0,,0.0,2,15,brak,,23434.0,0,1,0,żonaty/zamężna,0
94,36,20809.0,2.0,brak historii,0.0,2,11,stała,1.0,145364.0,0,1,1,kawaler/panna,0
95,25,40000.0,2.0,dobra historia,1.0,0,9,brak,1.0,61991.0,0,0,0,kawaler/panna,0
96,42,,0.0,brak historii,,1,5,stała,1.0,19230.0,1,1,1,żonaty/zamężna,0
97,42,25656.0,1.0,dobra historia,,1,8,określona,1.0,37388.0,0,0,1,żonaty/zamężna,0
98,40,18032.0,3.0,dobra historia,,1,12,stała,0.0,210199.0,0,1,1,żonaty/zamężna,0
99,37,16455.0,0.0,dobra historia,0.0,0,8,samozatrudnienie,0.0,56602.0,0,2,1,żonaty/zamężna,0
100,25,40000.0,0.0,brak historii,,1,6,określona,1.0,114778.0,0,1,1,żonaty/zamężna,0
101,35,24352.0,2.0,,0.0,1,9,stała,0.0,16388.0,1,0,1,kawaler/panna,0
102,36,,0.0,,0.0,1,15,określona,0.0,32371.0,0,1,0,kawaler/panna,0
103,31,15728.0,3.0,,0.0,1,10,stała,1.0,176322.0,0,1,2,żonaty/zamężna,0
104,38,14341.0,0.0,dobra historia,,6,15,stała,,56249.0,0,1,1,żonaty/zamężna,1
105,44,16761.0,0.0,dobra historia,0.0,0,0,określona,,115992.0,0,0,0,żonaty/zamężna,0
106,58,29186.0,0.0,,1.0,0,10,określona,1.0,134796.0,0,2,0,kawaler/panna,0
107,41,,0.0,dobra historia,1.0,0,9,stała,0.0,58428.0,0,0,2,żonaty/zamężna,0
108,42,21195.0,0.0,dobra historia,0.0,0,5,brak,1.0,,1,2,2,kawaler/panna,0
109,39,40000.0,1.0,brak historii,0.0,0,10,stała,0.0,36332.0,1,1,0,rozwiedziony/rozwiedziona,0
110,20,15549.0,0.0,dobra historia,1.0,2,14,stała,1.0,11464.0,1,1,0,kawaler/panna,0
111,39,,3.0,brak historii,0.0,0,10,stała,0.0,163593.0,0,0,0,kawaler/panna,0
112,40,15746.0,1.0,dobra historia,1.0,0,3,stała,,252011.0,1,0,0,żonaty/zamężna,0
113,64,23031.0,0.0,dobra historia,1.0,2,12,stała,0.0,,0,1,0,żonaty/zamężna,0
114,38,,0.0,brak historii,0.0,2,15,samozatrudnienie,1.0,273266.0,1,1,0,kawaler/panna,0
115,43,23428.0,1.0,dobra historia,0.0,1,10,stała,1.0,117510.0,1,1,1,kawaler/panna,0
116,39,27509.0,0.0,brak historii,0.0,2,9,stała,1.0,11426.0,1,1,1,żonaty/zamężna,0
117,28,27362.0,0.0,brak historii,1.0,2,6,określona,1.0,21666.0,0,0,0,kawaler/panna,0
118,51,15114.0,3.0,dobra historia,0.0,3,11,samozatrudnienie,1.0,10000.0,1,1,2,rozwiedziony/rozwiedziona,0
119,47,12563.0,0.0,dobra historia,0.0,0,8,samozatrudnienie,,103883.0,0,1,0,rozwiedziony/rozwiedziona,0
120,47,,0.0,dobra historia,,1,28,stała,0.0,40695.0,0,0,2,kawaler/panna,0
121,30,17292.0,1.0,brak historii,,1,15,samozatrudnienie,,49169.0,1,1,2,żonaty/zamężna,0
122,54,31244.0,1.0,,0.0,3,11,brak,,43524.0,0,0,0,żonaty/zamężna,0
123,25,9859.0,0.0,dobra historia,0.0,0,12,stała,0.0,,0,1,2,żonaty/zamężna,0
124,45,19152.0,2.0,dobra historia,2.0,1,9,określona,0.0,,0,0,0,rozwiedziony/rozwiedziona,1
125,61,,1.0,dobra historia,0.0,2,12,samozatrudnienie,0.0,153587.0,0,1,0,żonaty/zamężna,0
126,30,27900.0,1.0,dobra historia,0.0,2,12,brak,1.0,35747.0,0,0,1,żonaty/zamężna,0
127,34,,0.0,dobra historia,0.0,2,6,stała,0.0,25034.0,0,1,0,żonaty/zamężna,0
128,40,23934.0,4.0,,0.0,1,8,brak,,88491.0,1,0,0,kawaler/panna,0
129,34,12396.0,0.0,dobra historia,0.0,1,11,samozatrudnienie,1.0,50025.0,1,1,2,kawaler/panna,0
130,24,25904.0,1.0,dobra historia,0.0,1,12,samozatrudnienie,0.0,68129.0,0,2,1,kawaler/panna,0
131,40,,0.0,dobra historia,0.0,0,8,stała,1.0,130240.0,1,1,2,żonaty/zamężna,0
132,29,14360.0,2.0,,0.0,4,7,określona,0.0,36792.0,1,0,0,żonaty/zamężna,0
133,44,19209.0,0.0,dobra historia,,4,12,stała,,10596.0,0,1,1,kawaler/panna,0
134,30,13014.0,0.0,dobra historia,1.0,1,12,określona,0.0,46823.0,1,1,0,żonaty/zamężna,0
135,55,17365.0,2.0,dobra historia,2.0,1,7,samozatrudnienie,,500000.0,1,1,2,żonaty/zamężna,1
136,32,12128.0,0.0,dobra historia,,1,0,stała,0.0,,1,0,0,kawaler/panna,0
137,36,8807.0,0.0,dobra historia,,3,12,stała,1.0,33695.0,0,1,2,kawaler/panna,0
138,48,36643.0,1.0,,0.0,3,14,stała,1.0,52458.0,0,1,0,żonaty/zamężna,0
139,27,11521.0,2.0,dobra historia,0.0,1,13,określona,0.0,109909.0,0,1,1,kawaler/panna,0
140,42,20143.0,0.0,dobra historia,,3,18,określona,1.0,29292.0,0,1,1,rozwiedziony/rozwiedziona,0
141,53,32094.0,0.0,brak historii,0.0,0,14,określona,0.0,500000.0,1,1,1,kawaler/panna,0
142,23,16196.0,4.0,dobra historia,1.0,3,11,samozatrudnienie,0.0,29375.0,1,2,1,kawaler/panna,0
143,41,14580.0,1.0,brak historii,,1,5,samozatrudnienie,1.0,32676.0,1,2,1,kawaler/panna,0
144,42,24664.0,0.0,dobra historia,1.0,3,9,określona,1.0,274334.0,0,1,0,żonaty/zamężna,0
145,47,,2.0,brak historii,2.0,0,8,stała,1.0,,0,0,0,kawaler/panna,1
146,27,12275.0,1.0,dobra historia,1.0,3,11,samozatrudnienie,1.0,292471.0,0,0,0,żonaty/zamężna,0
147,26,,0.0,dobra historia,0.0,1,3,samozatrudnienie,1.0,226962.0,0,1,0,kawaler/panna,0
148,45,9262.0,0.0,brak historii,0.0,1,12,samozatrudnienie,1.0,114983.0,1,1,0,żonaty/zamężna,0
149,42,18095.0,0.0,dobra historia,0.0,3,7,stała,0.0,16306.0,1,0,1,kawaler/panna,0
150,42,22406.0,3.0,,1.0,0,11,określona,1.0,40146.0,1,1,1,kawaler/panna,0
151,43,14366.0,0.0,brak historii,0.0,0,7,samozatrudnienie,0.0,26108.0,1,1,0,żonaty/zamężna,0
152,33,17527.0,0.0,,1.0,2,9,określona,0.0,,0,0,2,żonaty/zamężna,0
153,42,10893.0,3.0,,1.0,1,5,stała,0.0,,1,1,1,żonaty/zamężna,0
154,42,22891.0,0.0,dobra historia,,2,5,samozatrudnienie,,32055.0,1,1,1,żonaty/zamężna,0
155,32,37340.0,1.0,dobra historia,,0,12,stała,0.0,,0,0,1,żonaty/zamężna,0
156,58,12726.0,0.0,brak historii,,2,14,brak,0.0,127595.0,0,2,1,kawaler/panna,0
157,44,,1.0,dobra historia,0.0,1,9,określona,0.0,,0,1,1,żonaty/zamężna,0
158,28,,0.0,brak historii,,1,16,stała,1.0,87019.0,0,1,1,żonaty/zamężna,0
159,46,40000.0,0.0,dobra historia,,2,15,stała,1.0,16492.0,0,1,0,kawaler/panna,0
160,30,,1.0,dobra historia,1.0,1,11,stała,1.0,,1,1,1,rozwiedziony/rozwiedziona,0
161,47,,1.0,dobra historia,,1,5,stała,,,1,0,1,żonaty/zamężna,0
162,51,,1.0,dobra historia,1.0,0,11,brak,,,0,1,1,żonaty/zamężna,0
163,31,20930.0,1.0,dobra historia,0.0,3,11,określona,0.0,23627.0,1,1,0,żonaty/zamężna,0
164,49,6384.0,1.0,dobra historia,0.0,2,12,samozatrudnienie,1.0,,0,0,1,żonaty/zamężna,0
165,44,28297.0,1.0,dobra historia,0.0,1,8,stała,1.0,35792.0,1,1,1,żonaty/zamężna,0
166,48,40000.0,1.0,dobra historia,0.0,3,6,stała,0.0,50240.0,0,1,0,kawaler/panna,0
167,58,23349.0,1.0,dobra historia,0.0,0,1,stała,1.0,27567.0,0,2,1,żonaty/zamężna,0
168,37,13153.0,1.0,dobra historia,,3,10,brak,1.0,42626.0,1,2,1,rozwiedziony/rozwiedziona,0
169,32,17042.0,1.0,brak historii,2.0,3,9,stała,1.0,75964.0,0,0,1,kawaler/panna,0
170,31,40000.0,0.0,dobra historia,,2,16,samozatrudnienie,1.0,40686.0,1,0,0,kawaler/panna,0
171,31,34716.0,0.0,,1.0,2,5,stała,,13106.0,0,1,2,żonaty/zamężna,0
172,39,30333.0,0.0,brak historii,0.0,3,9,stała,1.0,108205.0,0,0,1,żonaty/zamężna,0
173,43,26323.0,3.0,dobra historia,0.0,4,4,samozatrudnienie,0.0,102759.0,1,1,2,rozwiedziony/rozwiedziona,0
174,42,15826.0,2.0,brak historii,0.0,3,18,stała,,42126.0,1,1,2,rozwiedziony/rozwiedziona,0
175,48,19924.0,1.0,dobra historia,0.0,5,8,stała,1.0,114208.0,1,1,0,żonaty/zamężna,1
176,40,21184.0,0.0,,1.0,2,3,stała,1.0,43882.0,0,1,1,żonaty/zamężna,0
177,54,28992.0,0.0,dobra historia,0.0,2,10,samozatrudnienie,1.0,23765.0,0,0,1,żonaty/zamężna,0
178,37,40000.0,3.0,dobra historia,0.0,0,10,określona,,85705.0,0,0,1,kawaler/panna,0
179,67,38529.0,3.0,dobra historia,1.0,3,6,określona,,161129.0,0,1,0,żonaty/zamężna,0
180,46,10832.0,0.0,,0.0,2,9,stała,1.0,79274.0,1,0,2,żonaty/zamężna,0
181,31,24636.0,2.0,brak historii,1.0,2,4,stała,1.0,118804.0,0,2,0,rozwiedziony/rozwiedziona,0
182,29,31836.0,0.0,dobra historia,0.0,2,7,stała,,44246.0,1,2,0,rozwiedziony/rozwiedziona,0
183,44,30014.0,0.0,dobra historia,0.0,1,7,stała,1.0,55485.0,1,1,0,kawaler/panna,0
184,37,16080.0,2.0,dobra historia,1.0,0,23,samozatrudnienie,,174375.0,0,1,0,rozwiedziony/rozwiedziona,0
185,47,,1.0,brak historii,0.0,2,15,samozatrudnienie,0.0,124504.0,0,1,1,rozwiedziony/rozwiedziona,0
186,44,,2.0,dobra historia,,3,10,stała,0.0,128912.0,0,1,0,kawaler/panna,0
187,39,,0.0,dobra historia,0.0,2,9,stała,1.0,42379.0,0,2,1,kawaler/panna,0
188,31,,0.0,brak historii,0.0,0,16,stała,0.0,,0,1,1,kawaler/panna,0
189,24,40000.0,0.0,brak historii,,1,15,brak,1.0,75755.0,0,1,1,kawaler/panna,0
190,35,14499.0,0.0,dobra historia,1.0,2,8,stała,1.0,24818.0,0,1,2,żonaty/zamężna,0
191,48,,1.0,brak historii,,0,21,określona,1.0,15083.0,0,0,2,żonaty/zamężna,0
192,42,37746.0,0.0,dobra historia,1.0,1,8,stała,,120563.0,0,0,1,kawaler/panna,0
193,27,21830.0,0.0,brak historii,0.0,1,8,określona,1.0,20736.0,1,0,1,żonaty/zamężna,0
194,41,18633.0,0.0,dobra historia,0.0,3,12,stała,0.0,53088.0,0,1,0,kawaler/panna,0
195,43,29226.0,2.0,brak historii,0.0,1,10,samozatrudnienie,1.0,117996.0,1,1,1,żonaty/zamężna,0
196,31,25241.0,1.0,brak historii,1.0,1,7,stała,1.0,40619.0,0,0,0,rozwiedziony/rozwiedziona,0
197,41,36872.0,1.0,dobra historia,0.0,2,8,określona,0.0,39841.0,0,1,0,żonaty/zamężna,0
198,40,40000.0,0.0,dobra historia,0.0,2,6,określona,1.0,129187.0,1,1,1,żonaty/zamężna,0
199,28,25680.0,0.0,dobra historia,2.0,1,10,samozatrudnienie,0.0,124044.0,0,0,1,kawaler/panna,0
200,43,25485.0,0.0,dobra historia,,0,9,brak,0.0,,0,1,1,kawaler/panna,0
201,45,24515.0,0.0,dobra historia,,0,12,określona,1.0,,0,0,2,żonaty/zamężna,0
202,50,28129.0,0.0,,0.0,1,11,stała,1.0,12724.0,0,1,0,żonaty/zamężna,0
203,50,22642.0,0.0,dobra historia,0.0,0,5,samozatrudnienie,0.0,65228.0,1,1,1,kawaler/panna,0
204,26,,1.0,dobra historia,,1,7,określona,1.0,62375.0,0,1,1,rozwiedziony/rozwiedziona,0
205,30,40000.0,5.0,dobra historia,1.0,1,15,stała,1.0,24031.0,0,1,0,rozwiedziony/rozwiedziona,0
206,45,40000.0,0.0,dobra historia,0.0,1,9,stała,1.0,,0,1,0,kawaler/panna,0
207,45,10365.0,2.0,,1.0,2,4,samozatrudnienie,0.0,23151.0,1,2,1,żonaty/zamężna,0
208,45,,0.0,dobra historia,0.0,1,8,określona,1.0,247551.0,1,1,1,kawaler/panna,0
209,70,,1.0,brak historii,0.0,2,9,stała,1.0,38331.0,1,0,0,kawaler/panna,0
210,45,18854.0,1.0,brak historii,0.0,2,20,samozatrudnienie,1.0,,0,2,1,żonaty/zamężna,0
211,51,26937.0,3.0,brak historii,1.0,2,8,określona,,,0,0,0,kawaler/panna,0
212,49,30783.0,0.0,brak historii,2.0,1,8,stała,,,1,0,0,żonaty/zamężna,0
213,46,,0.0,dobra historia,0.0,2,11,stała,1.0,30620.0,1,2,0,kawaler/panna,0
214,36,8461.0,0.0,brak historii,1.0,1,13,brak,0.0,21576.0,0,2,2,żonaty/zamężna,0
215,47,13595.0,0.0,dobra historia,0.0,2,19,samozatrudnienie,1.0,259480.0,0,1,1,żonaty/zamężna,0
216,32,,3.0,dobra historia,,1,8,stała,1.0,402839.0,0,1,1,kawaler/panna,0
217,37,5595.0,2.0,dobra historia,1.0,2,9,stała,1.0,125831.0,1,1,2,kawaler/panna,0
218,35,39883.0,2.0,dobra historia,0.0,2,4,stała,,50754.0,1,1,0,rozwiedziony/rozwiedziona,0
219,40,28584.0,1.0,dobra historia,1.0,2,3,stała,,40117.0,0,1,2,kawaler/panna,0
220,63,,3.0,dobra historia,,2,10,stała,0.0,79628.0,0,1,0,żonaty/zamężna,0
221,21,,0.0,dobra historia,1.0,1,5,samozatrudnienie,0.0,95164.0,0,1,1,żonaty/zamężna,0
222,46,,0.0,dobra historia,0.0,1,2,stała,1.0,49596.0,0,2,1,żonaty/zamężna,0
223,23,27314.0,2.0,brak historii,0.0,0,6,stała,0.0,42284.0,0,2,0,kawaler/panna,0
224,35,40000.0,0.0,dobra historia,0.0,2,3,stała,1.0,40392.0,1,2,1,rozwiedziony/rozwiedziona,0
225,50,34974.0,0.0,brak historii,,0,9,stała,,22201.0,0,0,1,kawaler/panna,0
226,40,,0.0,dobra historia,1.0,0,3,stała,1.0,62229.0,0,1,1,kawaler/panna,0
227,29,23003.0,1.0,,1.0,1,8,określona,0.0,76225.0,1,0,0,kawaler/panna,0
228,32,16874.0,1.0,,1.0,0,12,stała,0.0,84850.0,0,1,2,kawaler/panna,0
229,46,,0.0,brak historii,,1,8,stała,1.0,39422.0,0,1,0,kawaler/panna,0
230,32,,2.0,dobra historia,,0,9,stała,1.0,139605.0,1,0,0,kawaler/panna,0
231,42,12103.0,2.0,,0.0,2,4,samozatrudnienie,1.0,73242.0,1,1,0,żonaty/zamężna,0
232,40,14088.0,3.0,dobra historia,,1,13,stała,0.0,132495.0,1,1,1,rozwiedziony/rozwiedziona,1
233,33,,1.0,dobra historia,,1,11,stała,0.0,58231.0,0,1,2,żonaty/zamężna,0
234,61,,2.0,dobra historia,0.0,1,9,stała,0.0,59403.0,1,2,0,kawaler/panna,0
235,46,,2.0,,1.0,2,11,brak,,116610.0,0,1,1,kawaler/panna,0
236,19,39369.0,0.0,dobra historia,0.0,3,9,samozatrudnienie,,44144.0,1,0,0,żonaty/zamężna,0
237,41,20081.0,0.0,dobra historia,0.0,3,12,samozatrudnienie,,52971.0,0,1,2,kawaler/panna,0
238,33,10374.0,0.0,dobra historia,,0,13,samozatrudnienie,,53322.0,0,1,0,żonaty/zamężna,0
239,48,33522.0,0.0,,0.0,0,8,określona,,51900.0,0,0,0,kawaler/panna,0
240,32,40000.0,0.0,brak historii,,3,7,określona,1.0,,0,1,0,kawaler/panna,0
241,38,15944.0,0.0,,0.0,1,7,brak,0.0,40752.0,0,2,1,kawaler/panna,0
242,45,17339.0,0.0,dobra historia,0.0,0,6,samozatrudnienie,1.0,354436.0,1,2,2,kawaler/panna,0
243,48,28504.0,0.0,dobra historia,1.0,2,5,samozatrudnienie,,,1,1,0,żonaty/zamężna,0
244,27,40000.0,0.0,brak historii,0.0,1,9,samozatrudnienie,1.0,42026.0,0,2,0,żonaty/zamężna,0
245,36,16984.0,2.0,dobra historia,1.0,3,8,samozatrudnienie,0.0,,0,0,1,rozwiedziony/rozwiedziona,0
246,35,11313.0,2.0,dobra historia,0.0,0,9,stała,1.0,217786.0,0,1,0,żonaty/zamężna,0
247,33,30203.0,1.0,brak historii,0.0,4,12,stała,0.0,146971.0,0,1,1,żonaty/zamężna,0
248,57,,0.0,dobra historia,0.0,2,11,samozatrudnienie,1.0,,0,2,0,kawaler/panna,0
249,44,,0.0,dobra historia,0.0,0,16,brak,0.0,,0,0,2,żonaty/zamężna,0
250,27,16662.0,0.0,dobra historia,,3,10,brak,0.0,51265.0,1,1,2,żonaty/zamężna,0
251,49,36213.0,0.0,brak historii,2.0,3,8,stała,1.0,61253.0,0,0,1,żonaty/zamężna,0
252,61,28681.0,2.0,dobra historia,0.0,4,10,określona,,53976.0,0,1,1,żonaty/zamężna,0
253,50,14999.0,0.0,dobra historia,1.0,0,13,określona,1.0,38594.0,1,2,0,kawaler/panna,0
254,24,22573.0,2.0,brak historii,,1,20,stała,1.0,249387.0,0,0,0,kawaler/panna,0
